model_id,precision,runtime,Torch Accuracy,Sim Accuracy,Device Accuracy,PSNR_0,PSNR_1,PSNR_2,PSNR_3,PSNR_4,PSNR_5,PSNR_6,PSNR_7,PSNR_8,PSNR_9,date,branch,chipset,dataset_name,dataset_link,split_description,metric_name,metric_unit,metric_description,metric_min,metric_max,metric_threshold,num_samples
centerpoint,float,qnn_dlc,,,,69.24,27.22,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
conditional_detr_resnet50,w8a16,qnn_dlc,36.6,25.7,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
conditional_detr_resnet50,w8a16,qnn_dlc_via_qnn_ep,36.6,25.7,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
conditional_detr_resnet50,w8a16,onnx,36.6,25.7,25.3,28.22,24.19,17.18,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
conditional_detr_resnet50,float,tflite,36.6,,36.6,47.2,42.65,28.15,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
conditional_detr_resnet50,float,qnn_dlc,36.6,,36.7,46.2,40.07,27.42,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
conditional_detr_resnet50,float,qnn_dlc_via_qnn_ep,36.6,,36.6,47.03,40.95,28.04,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
conditional_detr_resnet50,float,onnx,36.6,,36.6,47.03,40.95,28.09,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,coco91class,https://cocodataset.org/,val2017 split,Mean Average Precision,mAP@0.5:0.95,Mean Average Precision averaged over IOU thresholds 0.5 to 0.95 in 0.05 increments.,0.0,100.0,10.0,300.0
convnext_base,w8a16,qnn_dlc,84.6,84.5,84.4,44.34,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_base,w8a16,qnn_dlc_via_qnn_ep,84.6,84.5,84.4,44.33,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_base,w8a16,onnx,84.6,84.5,84.4,44.33,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_base,float,tflite,84.6,,84.5,66.17,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_base,float,qnn_dlc,84.6,,84.5,65.88,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_base,float,qnn_dlc_via_qnn_ep,84.6,,84.5,65.88,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_base,float,onnx,84.6,,84.5,65.88,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,float,tflite,82.2,,82.1,64.49,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,float,qnn_dlc,82.2,,82.1,64.38,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,float,qnn_dlc_via_qnn_ep,82.2,,82.1,64.38,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,float,onnx,82.2,,82.1,64.38,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,w8a16,qnn_dlc,82.2,82.2,82.3,41.22,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,w8a16,qnn_dlc_via_qnn_ep,82.2,82.2,82.3,41.21,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
convnext_tiny,w8a16,onnx,82.2,82.2,82.3,41.21,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
crestereo,float,tflite,,,,54.98,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
crestereo,float,qnn_dlc,,,,53.39,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
crestereo,float,qnn_dlc_via_qnn_ep,,,,53.39,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
crestereo,float,onnx,,,,57.21,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,,,,,,,,,,
cvt,w8a16_mixed_fp16,qnn_dlc,0.377,0.376,0.0249,9.554,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,50.0,,,
cvt,w8a16_mixed_fp16,qnn_dlc_via_qnn_ep,0.377,0.376,,,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,,,,
cvt,w8a16_mixed_fp16,onnx,0.377,0.376,0.269,12.74,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,50.0,,,
cvt,float,tflite,0.377,,0.319,19.91,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,50.0,,,
cvt,float,qnn_dlc,0.377,,0.376,42.03,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,50.0,,,
cvt,float,qnn_dlc_via_qnn_ep,0.377,,0.319,19.91,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,50.0,,,
cvt,float,onnx,0.377,,0.319,19.91,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,nuscenes_bev_cvt,,,,,,50.0,,,
